store_id,total_sales,unique_customers,product_diversity,fuel_transactions,total_transactions,fuel_share,chain_size,store_name,store_chain_id,store_chain_name,street_address,city,zip_code,latitude,longitude,log_customers,log_sales,log_products,log_chain_size,cluster,subcategory,purchase_count
14628,28.650000000000002,2,5,0,2,0,8,SFH #005 - San Rafael Chevron,7099,SALKHI FAMILY HOLDINGS,440 3rd St,San Rafael,94901,37.9711075,-122.5181581,1.0986122886681098,3.3894621254437345,1.791759469228055,2.1972245773362196,4,Cigars,45
14629,2.29,1,1,0,1,0,8,SFH #009 - Petaluma 76 Plaza,7099,SALKHI FAMILY HOLDINGS,101 N McDowell Blvd,Petaluma,94954,38.2493205,-122.6265754,0.6931471805599453,1.1908875647772805,0.6931471805599453,2.1972245773362196,4,Cigars,45
14630,9.999213000000001,1,1,1,1,1,8,SFH #002 - Petaluma Valero,7099,SALKHI FAMILY HOLDINGS,532 E Washington St,Petaluma,94952,38.2395947,-122.6342142,0.6931471805599453,2.397823724784327,0.6931471805599453,2.1972245773362196,1,Premium/Super Premium,14
14636,4309.314431,1,2,99,99,1,1,Zoom Mart Haiston,7123,Zoom Mart Haiston,1603 Specht Point Rd,Fort Collins,80525,40.5668536,-105.0360964,0.6931471805599453,8.3687661342651,1.0986122886681098,0.6931471805599453,2,Premium/Super Premium,317
14639,18.13,1,3,0,1,0,27,SPET #008 - Berkeley Chevron,7100,"SALKHI PETROLEUM, INC",2996 Shattuck Ave,Berkeley,94705,37.8554466,-122.2669174,0.6931471805599453,2.9512577834521614,1.3862943611198906,3.332204510175204,4,Cigars,45
14646,6.001523000000001,1,1,1,1,1,27,SPET #017 - Bayshore Chevron,7100,"SALKHI PETROLEUM, INC",101 Bayshore Blvd,SF,94124,37.7469969,-122.4034548,0.6931471805599453,1.946127696818654,0.6931471805599453,3.332204510175204,1,Premium/Super Premium,14
14658,159.622951,3,2,3,3,1,1,Patriot Market,7126,Ibrahim Wakim,10385 NC-109,Lexington,27292,35.7392565,-80.0976108,1.3862943611198906,5.079059699147887,1.0986122886681098,0.6931471805599453,1,Premium/Super Premium,14
14671,175.57411000000002,1,2,11,11,1,1,Save-A-ton #6,7136,Save A ton,5216 Dayton Blvd,Red Bank,37415,35.1461826,-85.2738842,0.6931471805599453,5.173740674931158,1.0986122886681098,0.6931471805599453,1,Premium/Super Premium,14
14672,78.999483,1,1,2,2,1,1,SPUR MARKET,7137,SPUR MARKET,6802 Middle Valley Rd,Middle Valley,37343,35.1685466,-85.2085487,0.6931471805599453,4.382020172152999,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14674,196.556089,4,12,2,8,0.25,36,FastPhil's 21,2515,Raymer Oil Company,2894 Harmony Hwy,Harmony,28634,35.9312866,-80.7790686,1.6094379124341003,5.286022538958957,2.5649493574615367,3.6109179126442243,2,Premium/Super Premium,317
14685,48.593236999999995,1,1,1,1,1,1,Silco,7147,SILCO,295 S Broadway,Denver,80209,39.711518,-104.987981,0.6931471805599453,3.903854473627814,0.6931471805599453,0.6931471805599453,1,Premium/Super Premium,14
14690,5655.301512,5,7,125,126,0.9920634920634921,2,Gas n Grub #2,7150,Gas n Grub,865 Lindsay Blvd,Idaho Falls,83402,43.502925,-112.0516571,1.791759469228055,8.64052551450069,2.0794415416798357,1.0986122886681098,2,Premium/Super Premium,317
14691,5075.92578,4,12,3,157,0.01910828025477707,2,3 Brothers Bylo,7103,3 Brothers 2,3619 Reynolda Rd,Winston-Salem,27106,36.1575333,-80.3169148,1.6094379124341003,8.532461195971127,2.5649493574615367,1.0986122886681098,2,Premium/Super Premium,317
14698,287.340365,1,2,4,4,1,1,chavies food mart,7155,chavies food mart,5903 hwy 28,Chavies,41727,37.3478702,-83.3562912,0.6931471805599453,5.664141605249641,1.0986122886681098,0.6931471805599453,1,Premium/Super Premium,14
14699,5.17,1,2,0,1,0,9,Cowboy Country Stores #5,5140,Cowboy Country Stores,1619 N Harrison Ave,Pierre,57501,44.3783769,-100.316542,0.6931471805599453,1.8196988379172965,1.0986122886681098,2.302585092994046,4,Cigars,45
