rent,hhincome,foodstmp,state_fip,county_fip,pernum
0,9999999,0,04,04001,796
0,9999999,0,04,04001,797
0,54000,0,04,04001,798
0,9400,0,04,04001,799
0,5000,0,04,04001,800
0,9999999,0,04,04001,801
0,9999999,0,04,04001,802
0,14400,1,04,04001,803
0,9999999,0,04,04001,804
0,33400,0,04,04001,805
0,9999999,0,04,04001,806
0,9999999,0,04,04001,807
0,9999999,0,04,04001,808
0,9999999,0,04,04001,809
0,9999999,0,04,04001,810
0,9999999,0,04,04001,811
0,9999999,0,04,04001,812
0,70600,0,04,04001,813
0,9999999,0,04,04001,814
0,152000,0,04,04001,815
0,15200,0,04,04001,816
0,11600,0,04,04001,817
0,57600,0,04,04001,818
1800,9999999,0,04,04001,819
0,55000,0,04,04001,820
0,57500,0,04,04001,821
0,9999999,0,04,04001,822
1500,52800,0,04,04001,823
0,10000,0,04,04001,824
0,9999999,0,04,04001,825
0,9999999,0,04,04001,826
0,9999999,1,04,04001,827
0,27500,0,04,04001,828
0,9999999,0,04,04001,829
0,40300,1,04,04001,830
0,12000,0,04,04001,831
0,9999999,0,04,04001,832
0,155700,1,04,04001,833
0,9999999,0,04,04001,834
0,22000,1,04,04001,835
0,121000,0,04,04001,836
400,23400,0,04,04001,837
0,9999999,0,04,04001,838
0,27700,0,04,04001,839
0,9999999,0,04,04001,840
0,0,0,04,04001,841
0,30300,0,04,04001,842
0,2400,0,04,04001,843
70,14200,1,04,04001,844
0,120000,1,04,04001,845
320,70000,1,04,04001,846
0,44600,1,04,04001,847
0,34900,0,04,04001,848
0,9999999,0,04,04001,849
0,24000,0,04,04001,850
0,9999999,0,04,04001,851
0,9999999,0,04,04001,852
0,137900,0,04,04001,853
0,9999999,0,04,04001,854
0,9999999,0,04,04001,855
310,64700,1,04,04001,856
0,10100,1,04,04001,857
0,9999999,0,04,04001,858
0,9999999,0,04,04001,859
0,9999999,0,04,04001,860
0,34450,1,04,04001,861
0,6000,1,04,04001,862
0,9999999,0,04,04001,863
0,20300,0,04,04001,864
0,35000,1,04,04001,865
0,9999999,0,04,04001,866
20,46100,1,04,04001,867
0,6000,1,04,04001,868
0,9600,1,04,04001,869
0,20800,0,04,04001,870
0,4500,0,04,04001,871
0,65100,1,04,04001,872
0,12700,0,04,04001,873
0,69000,0,04,04001,874
900,52700,0,04,04001,875
0,42000,0,04,04001,876
0,49200,0,04,04001,877
0,42600,0,04,04001,878
0,14500,1,04,04001,879
0,25000,0,04,04001,880
0,9999999,0,04,04001,881
0,9999999,0,04,04001,882
20,9100,1,04,04001,883
0,9000,0,04,04001,884
0,9999999,0,04,04001,885
300,10200,1,04,04001,886
50,9900,1,04,04001,887
0,23200,0,04,04001,888
0,9999999,0,04,04001,889
0,9999999,0,04,04001,890
0,68800,1,04,04001,891
0,9999999,0,04,04001,892
0,9999999,0,04,04001,893
0,9999999,0,04,04001,894
0,9999999,0,04,04001,895
0,8900,1,04,04001,896
0,127000,0,04,04001,897
0,210000,1,04,04001,898
0,76400,0,04,04001,899
0,72400,0,04,04001,900
0,9999999,0,04,04001,901
0,15000,1,04,04001,902
0,9600,0,04,04001,903
0,9999999,0,04,04001,904
0,1500,1,04,04001,905
0,52200,1,04,04001,906
0,0,0,04,04001,907
0,36000,1,04,04001,908
0,29000,1,04,04001,909
0,9999999,0,04,04001,910
