placekey,raw_visitor_counts,distance_from_home,median_dwell,cluster,location_name,top_category,sub_category,latitude,longitude,city,region,pred_sub_category
zzw-222@8tg-hsw-p5f,2.1972245773362196,9.702777967428895,4.241326752570746,3,Stern Produce Co,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,35.253178,-111.55962,Flagstaff,AZ,Supermarkets and Other Grocery (except Convenience) Stores
224-223@8ts-zgq-mzf,4.276666119016055,8.533263371593732,2.0794415416798357,1,7-Eleven,Grocery Stores,Convenience Stores,33.466351,-111.90002,Scottsdale,AZ,Convenience Stores
229-222@8ts-3pr-c3q,4.969813299576001,9.068085324395312,2.5649493574615367,2,Carniceria los Vaqueros,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.198364,-110.87454,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@5zb-xkm-6tv,5.288267030694535,8.797699580118923,1.791759469228055,2,Circle K,Grocery Stores,Convenience Stores,33.611916,-111.97746,Phoenix,AZ,Convenience Stores
zzw-222@8ts-zh5-mp9,5.278114659230517,9.193295937366925,3.4011973816621555,3,Honeyville Farms,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.351616,-111.94971,Tempe,AZ,Supermarkets and Other Grocery (except Convenience) Stores
222-222@5zb-wtp-4vz,5.683579767338681,9.725854985228304,1.791759469228055,2,Circle K,Grocery Stores,Convenience Stores,33.684109,-112.10027,Phoenix,AZ,Convenience Stores
224-222@8ts-3p3-d7q,5.8377304471659395,8.762176509334903,2.5649493574615367,1,Food City Arizona,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.179436,-111.00194,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-222@8ts-zs4-f75,5.902633333401366,8.301025253838453,1.791759469228055,1,Circle K,Grocery Stores,Convenience Stores,33.438049,-111.6847,Mesa,AZ,Convenience Stores
223-222@8ts-zg9-mp9,5.521460917862246,8.024862150286411,1.9459101490553132,1,Circle K,Grocery Stores,Convenience Stores,33.421696,-111.87398,Mesa,AZ,Convenience Stores
228-222@8ts-w4n-jjv,4.02535169073515,8.566173813637858,2.1972245773362196,1,Fountain Hills Express Convenience Store & Deli,Grocery Stores,Convenience Stores,33.5947,-111.71209,Fountain Hills,AZ,Convenience Stores
223-222@8ts-793-7dv,5.375278407684165,8.705662478796427,1.791759469228055,2,Circle K,Grocery Stores,Convenience Stores,32.133244,-110.99839,Tucson,AZ,Convenience Stores
zzw-222@5zb-vmn-ysq,7.502738210754851,8.369620826949102,2.995732273553991,1,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.495316,-112.48157,Buckeye,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-223@5z9-sqt-t7q,4.624972813284271,7.9017475185201445,3.2386784521643803,1,Hallum Oil,Grocery Stores,Convenience Stores,34.739094,-112.02014,Cottonwood,AZ,Convenience Stores
222-222@8ts-zh8-gc5,4.127134385045092,8.708804795117285,2.0794415416798357,2,Circle K,Grocery Stores,Convenience Stores,33.363132,-111.94654,Tempe,AZ,Convenience Stores
226-222@8tg-7wr-qzz,4.919980925828125,9.882876598632004,1.9459101490553132,2,Circle K,Grocery Stores,Convenience Stores,34.507462,-110.07943,Snowflake,AZ,Convenience Stores
zzw-222@8ts-3px-6c5,3.332204510175204,9.456184308811169,2.302585092994046,2,Sunland Foods,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.179325,-110.92179,Tucson,AZ,Supermarkets and Other Grocery (except Convenience) Stores
226-223@5zb-wx4-cyv,4.07753744390572,8.734881892047483,2.70805020110221,3,Paradise Cove,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.634571,-112.06582,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-222@8ts-3p4-d35,5.135798437050262,8.431635303054591,1.9459101490553132,1,Circle K,Grocery Stores,Convenience Stores,32.163643,-110.95558,Tucson,AZ,Convenience Stores
224-223@8ts-zxn-ch5,4.762173934797756,8.408716715080153,1.791759469228055,1,Circle K,Grocery Stores,Convenience Stores,33.320835,-111.98862,Phoenix,AZ,Convenience Stores
zzw-222@8ts-zdn-9pv,5.966146739123692,9.312445594913337,2.772588722239781,2,ALDI,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.295204,-111.75111,Gilbert,AZ,Supermarkets and Other Grocery (except Convenience) Stores
22g-222@8ts-zfd-yvz,5.043425116919247,9.745077815788486,2.1972245773362196,2,Circle K,Grocery Stores,Convenience Stores,33.42157,-111.94208,Tempe,AZ,Convenience Stores
229-222@8ts-zj7-dy9,2.8903717578961645,8.643825842349603,3.367295829986474,3,Mobenergy Llc,Grocery Stores,Convenience Stores,33.337372,-111.87965,Chandler,AZ,Convenience Stores
222-223@8ts-ck5-kxq,5.598421958998375,8.294049640102028,3.2188758248682006,1,Safeway,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,32.895271,-111.74156,Casa Grande,AZ,Supermarkets and Other Grocery (except Convenience) Stores
22b-222@5zb-xd2-5mk,3.9318256327243257,8.693664334532016,2.0794415416798357,2,Sabor Latino,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.466274,-112.13822,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
22c-222@5zb-xkj-grk,5.648974238161206,8.718827059242566,2.0794415416798357,1,Circle K,Grocery Stores,Convenience Stores,33.654652,-111.9781,Phoenix,AZ,Convenience Stores
222-226@8ts-79t-5pv,3.58351893845611,8.163940954755008,1.6094379124341003,1,Fast Market,Grocery Stores,Convenience Stores,32.134815,-110.944,Tucson,AZ,Convenience Stores
zzy-222@5zb-wtt-zpv,4.634728988229636,7.950149887652018,2.803360380906535,1,Animals and Humans in Disaster Empty Bowl Pet Food Pantry,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.641693,-112.06657,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
zzw-224@8tt-7yy-4n5,1.791759469228055,9.3350328159335,2.4423470353692043,3,Ocotillo Produce,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,31.385588,-110.94635,Nogales,AZ,Supermarkets and Other Grocery (except Convenience) Stores
223-222@5zb-xcp-xdv,5.529429087511423,8.427487278331744,3.044522437723423,1,Sprouts Farmers Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.554665,-112.10115,Phoenix,AZ,Supermarkets and Other Grocery (except Convenience) Stores
225-224@5zb-xgf-y5f,5.60947179518496,8.285261134068948,2.9444389791664403,1,Bashas' Supermarkets,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,33.611393,-112.22197,Peoria,AZ,Supermarkets and Other Grocery (except Convenience) Stores
