placekey,location_name,top_category,sub_category,naics_code,latitude,longitude,street_address,city,region,postal_code,raw_visit_counts,raw_visitor_counts,distance_from_home,median_dwell,device_type,year,month
222-222@8ts-cmh-jn5,Bob's Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,32.795013,-111.75771,9376 S Chuichu Rd,Casa Grande,AZ,85193,22,17,14776,6,"{""android"":11,""ios"":7}",2021,9
222-224@5zb-x7f-835,Walmart Supercenter,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.869514,-112.15492,4435 W Anthem Way,Anthem,AZ,85086,5415,2073,6914,22,"{""android"":1036,""ios"":1038}",2021,9
22b-222@8th-j3m-jsq,Rocky Mountain Chocolate Factory,Specialty Food Stores,Confectionery and Nut Stores,445292,34.870018,-111.76032,270 N State Route 89A Ste 2,Sedona,AZ,86336,58,57,540077,20,"{""android"":33,""ios"":25}",2021,9
226-222@5z9-rht-nbk,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,34.587379,-112.33044,7700 E State Route 69 Ste 1E,Prescott Valley,AZ,86314,689,447,5115,20,"{""android"":305,""ios"":145}",2021,9
222-222@8ts-3ns-g49,Giant Express Conoco,Grocery Stores,Convenience Stores,445120,32.177517,-110.98136,761 W Ajo Way,Tucson,AZ,85713,145,111,4609,6,"{""android"":61,""ios"":51}",2021,9
22m-222@8ts-3pj-nnq,Menlo Park Liquors,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores",445310,32.219875,-110.98868,1000 W Congress St,Tucson,AZ,85745,27,25,8430,7,"{""android"":12,""ios"":10}",2021,9
222-223@8ts-zjb-j35,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.348225,-111.85817,981 W Elliot Rd,Chandler,AZ,85225,952,540,2369,15.5,"{""android"":335,""ios"":202}",2021,9
zzw-222@5zb-v7h-jn5,4 Sons Food Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.609039,-112.39293,15445 W Waddell Rd,Surprise,AZ,85379,189,149,2807,6,"{""android"":94,""ios"":54}",2021,9
22b-222@8ts-zb8-9s5,Sprouts Farmers Market,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.303425,-111.75758,2582 S Val Vista Dr,Gilbert,AZ,85295,757,474,4761,18,"{""android"":264,""ios"":213}",2021,9
224-222@5zb-xmk-y7q,AJ's Fine Foods,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.622131,-111.87311,15031 N Thompson Peak Pkwy,Scottsdale,AZ,85260,168,108,5911,12.5,"{""android"":40,""ios"":67}",2021,9
222-222@5zb-xgt-snq,Costco,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.643013,-112.23343,17550 N 79th Ave,Glendale,AZ,85308,6812,4123,7925,24,"{""android"":2269,""ios"":1856}",2021,9
22b-222@8tr-zbv-7qz,Circle K,Grocery Stores,Convenience Stores,445120,32.370274,-111.06692,9000 N Camino de Oeste,Tucson,AZ,85742,300,178,2008,6,"{""android"":92,""ios"":84}",2021,9
222-222@5zb-xgm-m6k,Circle K,Grocery Stores,Convenience Stores,445120,33.581291,-112.2034,6735 W Peoria Ave,Peoria,AZ,85345,442,336,2891,6,"{""android"":199,""ios"":135}",2021,9
223-222@5z9-hz5-rzf,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,34.897606,-114.59721,8920 S Highway 95,Mohave Valley,AZ,86440,162,121,6952,8.5,"{""android"":64,""ios"":55}",2021,9
223-223@8ts-zgs-psq,Indian Creek Texaco,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.494431,-111.89119,4001 N Pima Rd,Scottsdale,AZ,85251,181,165,19510,5,"{""android"":71,""ios"":94}",2021,9
222-223@8ts-v37-y9z,Circle K,Grocery Stores,Convenience Stores,445120,33.358547,-111.46726,7138 E US Highway 60,Gold Canyon,AZ,85118,372,254,25757,7,"{""android"":132,""ios"":124}",2021,9
222-222@5zb-wxd-qcq,Circle K,Grocery Stores,Convenience Stores,445120,33.596596,-112.01382,12042 N 32nd St,Phoenix,AZ,85028,243,201,13445,6,"{""android"":111,""ios"":91}",2021,9
222-222@8ts-79v-xdv,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,32.157215,-110.92695,3088 E Benson Hwy,Tucson,AZ,85706,217,157,2068,8,"{""android"":90,""ios"":67}",2021,9
224-222@8th-ps7-v9f,Campers Country Corner,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,34.329422,-110.80236,889 Spring Loop Rd,Forest Lakes,AZ,85931,12,2,,106.5,"{""android"":0,""ios"":0}",2021,9
222-223@5zb-xbz-w8v,Fry's Food & Drug Stores,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.506653,-112.0412,4724 N 20th St,Phoenix,AZ,85016,446,344,3907,21,"{""android"":169,""ios"":170}",2021,9
zzw-222@8ts-zd4-vvf,IGA,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.322369,-111.84275,1076 N Arizona Ave,Chandler,AZ,85225,490,355,5155,15,"{""android"":213,""ios"":139}",2021,9
227-222@5zb-vg5-3yv,Mikeys Mini Mart,Grocery Stores,Convenience Stores,445120,33.379723,-112.58616,210 W Baseline Rd,Buckeye,AZ,85326,180,94,2725,16,"{""android"":58,""ios"":35}",2021,9
22c-223@8ts-zfd-y35,Acai Me,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,445110,33.419281,-111.94023,950 S Mill Ave,Tempe,AZ,85281,11,10,20209,11,"{""android"":0,""ios"":10}",2021,9
